00001740-a	keahlian	1
00004475-n	makhluk	1
00004722-r	cuma	1
00005779-r	jauh	1
00007015-r	sebagian	1
00007703-r	separuh	1
00013887-a	lebat	1
00015247-a	rimbun	1
00015388-n	makhluk	1
00017222-n	tanaman	1
00018302-r	juga	1
00018781-r	agak	1
00019339-r	pernah	1
00019609-r	senantiasa	1
00019609-r	seringkali	1
00019613-n	inti	1
00020476-r	seringkali	1
00021212-r	kadang	1
00021265-n	gizi	1
00021265-n	makanan	1
00021878-r	kadang	1
00022829-r	sekali	1
00026385-v	beristirahat	1
00027384-r	tetap	1
00027807-n	bentuk	1
00030358-n	tindakan	1
00031820-v	tertawa	1
00032497-a	akrobatik	1
00032733-a	lincah	1
00033663-r	sedikit	1
00034213-n	fenomena	1
00034479-n	hal	1
00035603-v	memandikan	1
00035718-r	agak	1
00035868-a	kesibukan	1
00037396-n	tindak	1
00037641-r	begitu	1
00038625-r	memang	1
00041954-r	umum	1
00042757-n	berangkat	1
00043195-n	penemuan	1
00045607-r	melewati	1
00046002-r	hanya	1
00046299-r	sangat	1
00046534-v	berbusana	1
00046639-r	sungguh	1
00047534-r	demikian	1
00048374-n	tiba	1
00048475-r	tetapi	1
00048858-a	jangan	1
00049016-a	pelengkap	1
00050037-n	pencatatan	1
00051045-a	cukup	1
00053691-a	liat	1
00056087-n	perantauan	1
00056930-v	menyambut	1
00060939-r	sebelum	1
00060939-r	sebelumnya	1
00061203-r	belakangan	1
00061203-r	selepas	1
00061203-r	sesudah	1
00062857-r	maka	1
00063014-n	mencatat	1
00063014-n	tercatat	1
00063652-n	keberhasilan	1
00068368-r	sepanjang	1
00071840-r	sekitar	1
00073465-a	buatan	1
00074201-r	lalu	1
00074524-n	kelalaian	1
00079617-r	bersifat	1
00081737-r	tahunan	1
00082241-a	agresif	1
00084223-r	terutama	1
00089408-r	amat	1
00095280-a	wafat	1
00096333-r	naik	1
00097840-r	balik	1
00098625-n	layanan	1
00099527-r	kurang	1
00099951-n	ilusi	1
00100002-r	sedikit	1
00100543-n	interpretasi	1
00106456-a	sedikit	1
00107144-r	biasanya	1
00107384-a	sedikit	1
00110701-a	digital	1
00113082-r	sebalik	1
00116376-n	naikkan	1
00117985-v	terus	1
00118567-a	hidup	1
00118869-r	pernah	1
00118965-r	sekali	1
00119139-r	tapi	1
00119139-r	walaupun	1
00120095-r	sambil	1
00121046-v	pengalaman	1
00122128-a	sebelum	1
00122844-a	mengiringi	1
00123485-a	kemudian	1
00124918-a	daratan	1
00126264-v	ubah	1
00127137-a	bekas	1
00127137-a	terdahulu	1
00127948-a	kedua	1
00135455-a	tepat	1
00138611-r	mungkin	1
00139508-r	sepantas	1
00142191-v	berbentuk	1
00146856-n	pertemuan	1
00147272-r	begitu	1
00147272-r	jadi	1
00149583-v	mendapat	1
00150287-v	menyesuaikan	1
00152018-n	nama	1
00153263-v	menambah	1
00155143-v	membubung	1
00155143-v	meningkat	1
00160086-r	sejak	1
00162632-n	keputusan	1
00162688-v	ganti	1
00164201-v	memperbarui	1
00170847-a	menarik	1
00171586-v	memperkaya	1
00174003-n	jalan	1
00174412-n	jalan	1
00174412-n	tindakan	1
00176383-r	banyak	1
00180413-n	pengakuan	1
00183879-v	termasuk	1
00184117-v	mencampur	1
00184229-a	diberikan	1
00187617-r	mewah	1
00189511-v	menyuapkan	1
00190653-a	cerdas	1
00192836-v	memeriahkan	1
00195024-r	selalu	1
00211517-r	rohani	1
00221985-r	lewat	1
00222728-v	memperkuat	1
00225805-r	besar	1
00228294-a	terpenting	1
00228294-a	terutama	1
00229605-v	menambah	1
00230033-v	meningkatkan	1
00230746-v	berkembang	1
00238022-n	pembukaan	1
00239908-r	tiap	1
00242976-v	menyatukan	1
00243124-v	berpadu	1
00248488-r	terutama	1
00249501-n	kemajuan	1
00249501-n	perkembangan	1
00251791-v	datang	1
00253498-r	menyolok	1
00257269-v	berkembang	1
00257770-n	mandi	1
00259019-r	langsung	1
00262249-n	hiasan	1
00262792-a	bersemangat	1
00263463-a	gagah	1
00264386-v	kembang	1
00269989-a	sinar	1
00270561-v	menyembuhkan	1
00275843-v	mengemas	1
00278551-a	cerah	1
00279618-a	gemerlapan	1
00279835-n	pindah	1
00282675-a	berkilau	1
00283327-a	berkilauan	1
00288880-n	langkah	1
00289983-a	time	1
00290302-v	memperkuat	1
00292937-a	sibuk	1
00300247-r	mungkin	1
00300441-n	penerbangan	1
00304252-v	kembang	1
00304787-r	seharian	1
00306314-a	boleh	1
00306426-n	perjalanan	1
00309115-n	pelayaran	1
00310386-v	mengembangkan	1
00310716-a	teliti	1
00313806-n	berlayar	1
00317888-v	memperpanjang	1
00321148-v	mengisi	1
00322151-v	memanggang	1
00324384-n	naik	1
00325110-n	panjat	1
00325328-v	menggoreng	1
00327145-v	mengukus	1
00329831-a	pusat	1
00329831-a	sentral	1
00331082-v	menumbuk	1
00331194-r	rata	1
00331446-a	pinggir	1
00331950-n	gerak	1
00332017-v	menggiling	1
00338641-n	pembukaan	1
00339738-v	terjadi	1
00339934-v	terjadi	1
00340192-n	lalu	1
00340403-r	langsung	1
00341243-n	tiba	1
