2025-02-01	MODIFIED	08300783-n	spa:lemma	banco mundial 	banco mundial
2025-03-03	REMOVED	07013549-n	spa:def	0	
2025-03-03	REMOVED	10153414-n	spa:def	0	
2025-03-03	REMOVED	13416897-n	spa:def	0	
2025-03-03	REMOVED	13419535-n	spa:def	0	
