# cldr	yor	http://cldr.unicode.org/	MIT-like
06952861-n	yor:lemma	Èdè
06997486-n	yor:lemma	Èdè
06987812-n	yor:lemma	Èdè
06988057-n	yor:lemma	Èdè
06970784-n	yor:lemma	Ti
06927007-n	yor:lemma	Èdè
06944480-n	yor:lemma	Èdè
06945569-n	yor:lemma	Èdè
06970510-n	yor:lemma	Èdè
06970946-n	yor:lemma	Èdè
06961771-n	yor:lemma	Èdè
06967529-n	yor:lemma	Èdè
06944911-n	yor:lemma	Èdè
06961557-n	yor:lemma	Èdè
06954048-n	yor:lemma	Èdè
06950528-n	yor:lemma	Èdè
06976392-n	yor:lemma	Èdè
06947032-n	yor:lemma	Èdè
06895791-n	yor:lemma	Èdè
06966825-n	yor:lemma	Èdè
06957896-n	yor:lemma	Èdè
06966695-n	yor:lemma	Èdè
06974127-n	yor:lemma	Èdè
06958255-n	yor:lemma	Èdè
06939756-n	yor:lemma	Èdè
06955087-n	yor:lemma	Èdè
06964901-n	yor:lemma	Èdè
06960778-n	yor:lemma	Èdè
06961122-n	yor:lemma	Èdè
06966454-n	yor:lemma	Èdè
06917280-n	yor:lemma	Èdè
06971454-n	yor:lemma	Èdè
06982697-n	yor:lemma	Èdè
06987124-n	yor:lemma	Èdè
06970103-n	yor:lemma	Èdè
06958836-n	yor:lemma	Èdè
06942699-n	yor:lemma	Èdè
06896304-n	yor:lemma	Èdè
06939198-n	yor:lemma	Èdè
06954183-n	yor:lemma	Èdè
06964247-n	yor:lemma	Èdè
06929279-n	yor:lemma	Èdè
06939431-n	yor:lemma	Èdè
06978766-n	yor:lemma	Èdè
06937348-n	yor:lemma	Èdè
06979957-n	yor:lemma	Èdè
06929171-n	yor:lemma	Èdè
06962600-n	yor:lemma	Èdè
06946199-n	yor:lemma	Èdè
06946355-n	yor:lemma	Èdè
06945473-n	yor:lemma	Èdè
06971281-n	yor:lemma	Èdè
06939051-n	yor:lemma	Èdè
06988913-n	yor:lemma	Èdè
06932435-n	yor:lemma	Èdè
06972985-n	yor:lemma	Èdè
06952572-n	yor:lemma	Èdè
06954303-n	yor:lemma	Èdè
06966190-n	yor:lemma	Èdè
06971605-n	yor:lemma	Èdè
06944720-n	yor:lemma	Èdè
06966310-n	yor:lemma	Èdè
06968343-n	yor:lemma	Èdè
06944348-n	yor:lemma	Èdè
06993573-n	yor:lemma	Èdè
06969129-n	yor:lemma	Èdè
06969705-n	yor:lemma	Èdè
06945095-n	yor:lemma	Èdè
06971741-n	yor:lemma	Èdè
06944820-n	yor:lemma	Èdè
06991004-n	yor:lemma	Èdè
06942252-n	yor:lemma	Èdè
06939542-n	yor:lemma	Èdè
06954925-n	yor:lemma	Èdè
06995792-n	yor:lemma	Èdè
06980315-n	yor:lemma	Èdè
06980721-n	yor:lemma	Èdè
06936149-n	yor:lemma	Èdè
06926889-n	yor:lemma	Èdè
06926798-n	yor:lemma	Èdè
06944623-n	yor:lemma	Èdè
06969916-n	yor:lemma	Èdè
06927363-n	yor:lemma	Èdè
06937229-n	yor:lemma	Èdè
06994700-n	yor:lemma	Èdè
06951067-n	yor:lemma	Èdè
06997368-n	yor:lemma	Èdè
06929742-n	yor:lemma	Èdè
06994792-n	yor:lemma	Èdè
09023118-n	yor:lemma	Orílẹ́ède
09044190-n	yor:lemma	Orílẹ́ède
08703454-n	yor:lemma	Orílẹ́ède
08709704-n	yor:lemma	Orílẹ́ède
08708742-n	yor:lemma	Orílẹ́ède
08704822-n	yor:lemma	Orílẹ́ède
09017526-n	yor:lemma	Orílẹ́ède
08748499-n	yor:lemma	Orílẹ́ède
08707917-n	yor:lemma	Orílẹ́ède
08711974-n	yor:lemma	Orílẹ́ède
08991878-n	yor:lemma	Sámóánì
08845555-n	yor:lemma	Orílẹ́ède
09211266-n	yor:lemma	Orílẹ́ède
08831004-n	yor:lemma	Orílẹ́ède
08748794-n	yor:lemma	Orílẹ́ède
09018162-n	yor:lemma	Orílẹ́ède
08817630-n	yor:lemma	Orílẹ́ède
08755436-n	yor:lemma	Orílẹ́ède
08755214-n	yor:lemma	Orílẹ́ède
08848731-n	yor:lemma	Orílẹ́ède
08849753-n	yor:lemma	Orílẹ́ède
08896440-n	yor:lemma	Orílẹ́ède
